block,group,token,units,mean_mA,max_mA,mean_mW,max_mW,energy_nJ,share_mean
frontend__bpdpipeline__bpd__counter_table_1,frontend,LOW,gshare/BPD,15.82147356293308,15.82147356293308,17.40362091922639,17.40362091922639,901.263912923058,0.21766058728948912
core_glue_1,glue,LOW,tile glue,9.887146243709486,18.762303815355622,10.875860868080435,20.638534196891182,563.2173309144133,0.13602033018370221
core__fp_pipeline_handpicked_signals_2_1,fp,HIGH,"FP IQ, FPU, FMA, FDiv",8.06861428356751,19.366253476974737,8.875475711924262,21.302878824672213,459.62538521770983,0.11100226009846367
core__iregfile_1,int_ex,LOW,int RF,5.508956546076947,37.236363636363635,6.059852200684642,40.96,313.81550606465487,0.07578830836469132
frontend__bpdpipeline__btb_handpicked_signals_1,frontend,LOW,BTB,5.4546268998102985,5.4546268998102985,6.000089589791329,6.000089589791329,310.72063949693376,0.07504087970916243
frontend__fetch_controller_1,frontend,LOW,"I$, FTQ, fetch",4.803095711962023,9.346789321789325,5.283405283158225,10.28146825396826,273.60642599363183,0.06607757673865301
core__ALUExeUnit_handpicked_signals_1,int_ex,LOW,INT0 ALU/JMP/MUL,4.466601331995376,20.172727272727272,4.913261465194914,22.19,254.4381582365838,0.06144832624110488
core__lsu_1,mem,MID,"AGU, LDQ, STQ, D$",4.0553946747374985,4.0553946747374985,4.460934142211249,4.460934142211249,231.01393548855174,0.05579123733847648
core__iregister_read_handpicked_signals_1,int_ex,LOW,int RF read,2.676074541391544,5.038909830007391,2.9436819955306985,5.542800813008131,152.44151582055278,0.036815531372145514
core__rob_handpicked_signals_1,rename_rob,LOW,ROB,2.4906341477496743,7.962272727272728,2.739697562524642,8.7585,141.87797797290114,0.03426437424845971
core__int_issue_unit_handpicked_signals_3_1,int_ex,LOW,INT IQ,2.1029716470093756,14.445454545454545,2.3132688117103135,15.89,119.7949386832303,0.028931189115885828
core__mem_issue_unit_1,mem,MID,MEM IQ,1.9574325167455966,12.536363636363635,2.1531757684201565,13.79,111.50436034340625,0.026928965211721053
core__rename_stage___maptable_history_1_1,rename_rob,LOW,int maptable,1.2100822501235606,7.725384615384614,1.3310904751359167,8.497923076923076,68.93185134538858,0.016647451464163892
core__fp_rename_stage__maptable_1,rename_rob,MID,fp maptable,1.1475816761256352,7.17415317559152,1.2623398437381987,7.8915684931506735,65.37153114782636,0.01578761299284791
core__csr_1,int_ex,MID,CSR file,0.8041102239278778,3.018181818181818,0.8845212463206656,3.3200000000000003,45.805817261962,0.01106237689488498
core__csr_exe_unit_1,int_ex,MID,INT1 ALU/CSR/DIV,0.801899902124283,7.387272727272728,0.8820898923367113,8.126000000000001,45.67990716454893,0.011031968858619868
core__rename_stage__freelist_history_1_1,rename_rob,LOW,int freelist,0.7827184829294829,3.6990909090909083,0.8609903312224313,4.069,44.58724529268483,0.010768084527594758
core__fp_rename_stage__freelist_1,rename_rob,MID,fp freelist,0.346852120708573,2.364866807610992,0.3815373327794303,2.6013534883720917,19.75829231531558,0.004771744932337191
core__decode_units_1_1,decode,LOW,decode1,0.16509928234400342,1.2777783179387392,0.18160921057840376,1.405556149732613,9.404814579013216,0.002271318573022158
core__decode_units_0_1,decode,LOW,decode0,0.13737269151251777,1.3604162102957262,0.15110996066376955,1.496457831325299,7.825380422933971,0.0018898758445739408
