mix,ready,trials,disagree_frac,mean_legal_sets,mean_max_age_rank,frac_grant_from_slot_ge2,mean_ids_changed
hello_like,2,4000,0.01925,2.99625,0.9965,0.0,0.0195
hello_like,3,4000,0.231,5.9895,1.23725,0.11877969492373093,0.46175
hello_like,4,4000,0.307,9.97775,1.42025,0.16477059632454058,0.648
hello_like,5,4000,0.351,14.9625,1.585,0.191375,0.755
hello_like,6,4000,0.40175,20.9385,1.816,0.22525,0.883
hello_like,7,4000,0.44025,27.91325,1.9965,0.246125,0.9815
hello_like,8,4000,0.47325,35.8925,2.29625,0.271375,1.077
hello_like,9,4000,0.48725,44.87125,2.5125,0.285125,1.1325
hello_like,10,4000,0.5075,54.82125,2.761,0.301,1.185
hello_like,11,4000,0.51875,65.79325,2.9595,0.305625,1.215
hello_like,12,4000,0.53325,77.7395,3.2575,0.32275,1.282
int_chatter,2,4000,0.1205,2.91875,0.925,0.0,0.12675
int_chatter,3,4000,0.42625,5.75575,1.449,0.23189318553974053,0.8285
int_chatter,4,4000,0.58225,9.5145,1.885,0.33971711102766305,1.224
int_chatter,5,4000,0.66875,14.19225,2.2685,0.3947236809202301,1.47425
int_chatter,6,4000,0.713,19.781,2.5645,0.438375,1.62925
int_chatter,7,4000,0.73875,26.30825,2.766,0.4448056007000875,1.7045
int_chatter,8,4000,0.75525,33.77025,2.961,0.45975,1.743
int_chatter,9,4000,0.75975,42.1215,3.06025,0.461625,1.758
int_chatter,10,4000,0.7575,51.4065,3.153,0.4615,1.765
int_chatter,11,4000,0.77225,61.6015,3.28025,0.47725,1.808
int_chatter,12,4000,0.76275,72.88275,3.30775,0.46625,1.7685
int_high_heavy,2,4000,0.13425,2.74175,0.771,0.0,0.1635
int_high_heavy,3,4000,0.3655,5.2755,1.35725,0.2268391480465177,0.6955
int_high_heavy,4,4000,0.54225,8.5165,1.91375,0.3577865211321234,1.1105
int_high_heavy,5,4000,0.64,12.53125,2.341,0.42013845185651355,1.371
int_high_heavy,6,4000,0.71725,17.28025,2.817,0.47683446030553467,1.57925
int_high_heavy,7,4000,0.76775,22.8815,3.1235,0.5016254063515879,1.7515
int_high_heavy,8,4000,0.7925,29.03275,3.48175,0.5338251844441666,1.84325
int_high_heavy,9,4000,0.81275,36.12725,3.78375,0.55625,1.949
int_high_heavy,10,4000,0.832,43.96475,3.936,0.56175,1.9885
int_high_heavy,11,4000,0.83925,52.58025,4.17375,0.577,2.048
int_high_heavy,12,4000,0.85075,61.618,4.30825,0.5745,2.072
full_mix,2,4000,0.1355,2.90975,0.92375,0.0,0.1495
full_mix,3,4000,0.45725,5.7155,1.47675,0.2476647311285029,0.8895
full_mix,4,4000,0.62525,9.4265,1.9835,0.3778807615230461,1.35575
full_mix,5,4000,0.72025,14.07275,2.4065,0.4376485303314572,1.64175
full_mix,6,4000,0.7655,19.60475,2.76525,0.478625,1.819
full_mix,7,4000,0.7785,26.0795,3.02125,0.49925,1.87625
full_mix,8,4000,0.8015,33.4175,3.26075,0.51325,1.9655
full_mix,9,4000,0.808,41.64425,3.47025,0.521625,1.979
full_mix,10,4000,0.816,50.76975,3.635,0.53025,2.0075
full_mix,11,4000,0.81125,60.93175,3.675,0.52175,1.993
full_mix,12,4000,0.83175,71.8235,3.84,0.53425,2.0415
