riscv,uopc,iq,fu,category,token,medium_ports,hw_units,demand,prior_w_mA
SLLI_RV32,uopSLLI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRLI_RV32,uopSRLI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRAI_RV32,uopSRAI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
LD,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LWU,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
SD,uopSTA,MEM,FU_MEM,MEM_ST,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,18
SLLI,uopSLLI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRLI,uopSRLI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRAI,uopSRAI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ADDIW,uopADDIW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLLIW,uopSLLIW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRAIW,uopSRAIW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRLIW,uopSRLIW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ADDW,uopADDW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SUBW,uopSUBW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SLLW,uopSLLW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRAW,uopSRAW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
SRLW,uopSRLW,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
LW,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LH,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LHU,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LB,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
LBU,uopLD,MEM,FU_MEM,MEM_LD,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,22
SW,uopSTA,MEM,FU_MEM,MEM_ST,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,18
SH,uopSTA,MEM,FU_MEM,MEM_ST,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,18
SB,uopSTA,MEM,FU_MEM,MEM_ST,MID,MEM0,"AGU,LDQ/STQ,D$,MSHR",medium,18
LUI,uopLUI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ADDI,uopADDI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ANDI,uopANDI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
ORI,uopORI,INT,FU_ALU,INT_ALU,LOW,"INT0,INT1","ALU,intRF",short,8
